order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,delivery_time_days,delay_vs_estimate,is_late,purchase_day,purchase_month,week_of_year,order_total_value,review_score,customer_state,lat_x,lng_x,lat_y,lng_y
ord_7370c26ead3d3cc6cee4f0548b8d,cus_3b0234601c0276e6cd4e08b6ae67,shipped,2025-08-16 21:12:27.948040,2025-08-16 23:12:27.948040,2025-08-17 23:12:27.948040,,2025-08-24 23:12:27.948040,,,,Saturday,August,33,4949.98,3,Guanajuato,24.053235989637304,-101.6950391761658,24.053235989637304,-101.6950391761658
ord_079072dd7970d40a3922a6b0c459,cus_24cb3fa4569c4fd058f954f2e6f9,delivered,2024-12-12 02:52:21.349382,2024-12-12 05:52:21.349382,2024-12-14 05:52:21.349382,2024-12-15 05:52:21.349382,2024-12-15 05:52:21.349382,3.0,0.0,0.0,Thursday,December,50,1276.09,4,Tabasco,23.55964060427808,-101.81757081283422,23.559640604278076,-101.81757081283422
ord_2600b1cb6f6a38610007a8c9142c,cus_67a2c2db5bd7dc2f06a8f9b40226,delivered,2025-06-13 03:04:55.053859,2025-06-13 19:04:55.053859,2025-06-16 19:04:55.053859,2025-06-21 19:04:55.053859,2025-06-21 19:04:55.053859,8.0,0.0,0.0,Friday,June,24,2137.6800000000003,4,Morelos,23.792248505681812,-102.38969035227272,23.792248505681815,-102.38969035227272
ord_aaa7c4626ea7ea636e5bba7afebd,cus_2b70a9c550bfd5e065a756e9fe9b,delivered,2025-04-26 01:55:37.919760,2025-04-26 08:55:37.919760,2025-04-27 08:55:37.919760,2025-04-28 08:55:37.919760,2025-04-29 08:55:37.919760,2.0,-1.0,0.0,Saturday,April,17,989.99,3,Guerrero,23.383400323809525,-101.80227347142856,23.383400323809525,-101.80227347142856
ord_0ca0641b834ceb0a46f85637e125,cus_36ba5c7d572c22a6650f11e37f4d,delivered,2025-06-21 18:52:40.013157,2025-06-21 21:52:40.013157,2025-06-22 21:52:40.013157,2025-06-25 21:52:40.013157,2025-06-27 21:52:40.013157,4.0,-2.0,0.0,Saturday,June,25,4403.75,3,Baja California Sur,23.18292486893204,-101.51609451941748,23.18292486893204,-101.51609451941748
ord_4cb088c3cb961aa3e4d68ce1b7f6,cus_f18cdfa2e8b9ce94bf6ef7ccb172,delivered,2025-01-03 00:40:40.420404,2025-01-03 19:40:40.420404,2025-01-05 19:40:40.420404,2025-01-09 19:40:40.420404,2025-01-10 19:40:40.420404,6.0,-1.0,0.0,Friday,January,1,7901.95,4,Jalisco,23.030702099502488,-101.95071183582088,23.030702099502488,-101.95071183582088
ord_6133a8de0b2703b2d39095c72bdb,cus_f0619012e0b0e4b291993347a6f6,delivered,2024-11-24 13:00:18.419108,2024-11-25 11:00:18.419108,2024-11-28 11:00:18.419108,2024-11-29 11:00:18.419108,2024-11-29 11:00:18.419108,4.0,0.0,0.0,Sunday,November,47,3237.03,4,Sinaloa,24.045853615384612,-101.10117676410258,24.045853615384615,-101.10117676410258
ord_6aea1eb0a77195fdad5a001c4783,cus_299a32ad7dda750488744e8a758b,delivered,2025-02-09 16:13:42.400598,2025-02-10 09:13:42.400598,2025-02-11 09:13:42.400598,2025-02-15 09:13:42.400598,2025-02-15 09:13:42.400598,5.0,0.0,0.0,Sunday,February,6,18492.89,5,Aguascalientes,23.972501200956938,-101.61957087559809,23.972501200956938,-101.61957087559807
ord_7951ffd1361c23ff4c5d3d183f7a,cus_1180c58b0caa142c2e0c82a62dab,shipped,2024-10-06 17:18:09.643663,2024-10-07 11:18:09.643663,2024-10-10 11:18:09.643663,,2024-10-14 11:18:09.643663,,,,Sunday,October,40,7995.049999999999,2,Sonora,23.287515162436545,-102.50213438071066,23.287515162436545,-102.50213438071066
ord_bceb05d7f16e6e3ddeab7ac1043e,cus_37e4b890410c75ef50ace1a8198e,delivered,2025-03-11 10:11:47.333523,2025-03-11 13:11:47.333523,2025-03-12 13:11:47.333523,2025-03-17 13:11:47.333523,2025-03-18 13:11:47.333523,6.0,-1.0,0.0,Tuesday,March,11,1790.28,2,Chihuahua,23.28535389714286,-102.05566077142856,23.28535389714286,-102.05566077142856
ord_09058df5141bc946e40b1a784ddc,cus_c3b151fdb9f1b3ec66d8c2d3225c,invoiced,2025-07-08 17:25:47.718841,2025-07-09 06:25:47.718841,2025-07-12 06:25:47.718841,,2025-07-20 06:25:47.718841,,,,Tuesday,July,28,12560.27,5,Veracruz de Ignacio de la Llave,23.7237853988764,-100.58646290449438,23.7237853988764,-100.58646290449438
