customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
cus_3b0234601c0276e6cd4e08b6ae67,752285adda4ba605ecb5,31979,Vieja Guinea Bissau,Guanajuato
cus_24cb3fa4569c4fd058f954f2e6f9,be73f2b363bc7ff5041e,79036,Nueva China,Tabasco
cus_67a2c2db5bd7dc2f06a8f9b40226,03011d201a9f55cbe51f,01637,Nueva Djibouti,Morelos
cus_2b70a9c550bfd5e065a756e9fe9b,91b3ba99d751f32ea78e,75789,Nueva República de Corea,Guerrero
cus_36ba5c7d572c22a6650f11e37f4d,bbc95f29cf24fab977e1,06258,Vieja España,Baja California Sur
cus_f18cdfa2e8b9ce94bf6ef7ccb172,feda716503d383c0cd65,61944,Nueva Botswana,Jalisco
cus_f0619012e0b0e4b291993347a6f6,555a19afc473ecb3e280,00976,San Bruno los bajos,Sinaloa
cus_299a32ad7dda750488744e8a758b,818af7531c8ba955b16e,32537,Nueva Etiopía,Aguascalientes
cus_1180c58b0caa142c2e0c82a62dab,7d5988f58e036828902c,72468,Nueva Vietman,Sonora
cus_37e4b890410c75ef50ace1a8198e,3054cde0f1e7bc3e207a,56738,Vieja Grecia,Chihuahua
cus_c3b151fdb9f1b3ec66d8c2d3225c,e2d89735ce51a21de0be,25879,San María Teresa los bajos,Veracruz de Ignacio de la Llave
cus_294812fb69713a47a0a7374ba6c6,a3c57c6d9dc05953183b,61073,Vieja Montenegro,Sonora
cus_00d88707974741c0906ea4e49260,f3020bd1e44fabf2ab39,58802,San Rosario los altos,Veracruz de Ignacio de la Llave
cus_0d69dec191b9e4205ed0e45561c1,1dc1559c9a747df4ac5a,46215,San Oswaldo los bajos,Distrito Federal
cus_8abd8424a4161a4ad843c8cabc14,2c5bd5bdc4c2f0a140e2,21737,San Julio César los bajos,Puebla
cus_0deb40b7912cc1eeb53f3d81fcaf,d405edd4d78cd97909bc,69696,Vieja Angola,Oaxaca
cus_83ba4e37b3f13d362aeecd43c063,d4fc1ca0a42ade94558b,11699,San Julio los altos,Morelos
cus_a9a65e467165f3aba5586dd1294a,f7fdf2fdef019156e176,42222,San Gonzalo los bajos,Jalisco
cus_21e296fd87c356e14a587885820d,1584605808765102915b,14525,Nueva Eslovaquia,Baja California
cus_dd41ba5971a7081c4fb92a5d728c,222d5fa6af06ef8f8391,75294,San Lucía los bajos,Quintana Roo
cus_f29878c2604fd414a7441248bd33,249dfe31c06f1ccc28f9,81702,San Estefanía los altos,Guanajuato
cus_e314fc7554b9939aff46477160be,57d725e2f1e5b347f57e,79017,San Barbara de la Montaña,Coahuila de Zaragoza
cus_eefe438127d8c7b16d0dc01a2f55,9315eed4fb39d802eafa,97521,Nueva Suriname,Colima
cus_8b67f367d63a14edd1e711d91a5f,88474153e5e467bf3b50,50589,Nueva Grecia,San Luis Potosí
cus_5d47f51d205b27322b412aa37aa2,99760b718f52451aaf7a,23466,San María Elena los altos,Coahuila de Zaragoza
cus_2c02236dea3fbdade1c0cd35cff2,e6ccd1ca3edb442ae64f,88888,Nueva Zimbabwe,Tamaulipas
cus_5cdc7d0fcd9d9f3575be53873505,118f2c654a71967c7e78,26642,San Mario de la Montaña,Hidalgo
cus_7de4eeee332b6f1dcec926197cf8,080374c0261452a905ad,37295,San Amador los altos,Sonora
cus_aa38d994737250d6905f2748f7d0,7b383b3011a6952e6c6d,12354,San Martín los bajos,Chiapas
cus_0205d09ed97c9c2ede6ac71ab0f7,683fd6f55d74b54bc58a,87848,San Maximiliano los altos,Chiapas
cus_ee0cd8e5dd17e73f944068069a19,8479bcbd4a3cd7d55747,33848,San Eric los bajos,Aguascalientes
cus_4f81a3de44b509160e607d528f60,90162a2c34c3a08b43a7,44053,Vieja Bulgaria,Querétaro
cus_571fd6134e0a46ada4d4e0f317f3,530476e6f56e51cf7e9d,56143,San Georgina los altos,Zacatecas
cus_acebd84f251d4322c020682066ac,cd32e7074d6104c3a325,72443,Nueva Mongolia,Zacatecas
cus_1e2486be8572a61dfa766e4e24f0,4671b68def3d9b23dda7,41917,Vieja Bosnia y Herzegovina,Nayarit
cus_6487e7f9b9837255cdd5a1707ab4,7d1c2d913bfa4aa72d6e,70047,Nueva Cabo Verde,Colima
cus_eeffec086f5514d983f5e2518247,a7c3b4b0eaae4d1bef5a,09834,San Esteban los altos,Coahuila de Zaragoza
cus_eeb19a3a2732fb93baabd171ad49,0bbc651443a0701411d6,77584,Vieja Chipre,Guanajuato
cus_579d11fedb75486a78d7067ce027,e24f7737b77ebb9bbf11,97962,Nueva Brunei Darussalam,Hidalgo
cus_c2520ee0363868083cf22033512f,6e3a243f2fd042b6aabb,61866,Vieja Alemania,Oaxaca
cus_79d4a38a99a9a69c2f06b1fb3d52,54f76745321791b3d71f,25192,Nueva Jamaica,San Luis Potosí
cus_549c94ba4ad45c9aa92f45ca3c57,4d0052ea010419047c27,34041,San Mauro de la Montaña,Tabasco
cus_ad376d88673a104b80adb7fea832,63ed9d48119d7c3096aa,64275,Vieja Túnez,Oaxaca
cus_c6b549ad4e4720c9c8daab408427,0bbb5ce998b557d4b53b,45269,Nueva Venezuela,Nayarit
cus_59f2a31ba5618bfd3fc3750e6988,a0779dab5ffdb467ab36,44272,Vieja Sudáfrica,Nayarit
cus_779477a7da7927689901dac7dd57,6ae84ab270a07a30b7ed,19790,San Karina los bajos,Coahuila de Zaragoza
cus_34a2fec60fc677957703281e07fa,15d5833f71e6bcc8d790,95348,San Mónica los altos,Nayarit
cus_2bc15802519f7977cd6c32863003,b988fbfd0a480481c360,79992,San Olga de la Montaña,Morelos
cus_a1674fa4e51bc70f47f2c117f13c,7a9f047020ea9a1b1929,10214,San María Eugenia los altos,Durango
cus_b3351aa4d6fbbcb4e1191a362593,52fb7d8d345d78501fb3,06837,San Natividad los altos,Campeche
cus_15e6d743202abcbab35d4f640dec,4825675a5d7664fe0cd3,57310,Vieja Letonia,Sonora
cus_fba724aff44f824742aa714706c4,e7c70a2d3de3182b73c8,68590,San Norma los bajos,Sinaloa
cus_9b7f4796df00baad44b8ffe5120c,5420b9b23573d283cf09,16649,San Mitzy de la Montaña,Michoacán de Ocampo
cus_eef5ecc1be664e6bdbbf94f7950f,4bf0af26f8d0e42c5fc4,60719,San Eugenia los altos,Nuevo León
cus_40bce825940b7b418aaed2ec5c4a,20eac97e57c4efac7b03,33232,San Nancy de la Montaña,Tabasco
cus_cd09af32dcb963e6d9176628ea61,e847f502f06649465870,56107,Nueva República Centroafricana,Guerrero
cus_7ee5f36060c4f53773f327d4f454,6ac97ba21732ed76a968,67615,San María del Carmen los bajos,Hidalgo
cus_c202c596904d7be17679c41a2ca9,1e6246a2edec74519fdf,97250,San Wendolin de la Montaña,San Luis Potosí
cus_abf8a6b141d7061fc71d9ead700e,8cff09b3f4b4af37dd1f,59348,Nueva China,Coahuila de Zaragoza
cus_065390dcd36517290d82738445fc,c066e399516a287bc096,17459,San Inés los bajos,San Luis Potosí
cus_895f99c83aad897ee5517736ba44,6f281b5460fe2a077c38,92164,San Estefanía los altos,Chihuahua
