geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
57344,31.047595,-87.720902,San María los bajos,México
98313,22.015389,-87.888243,San Fabiola los bajos,Tamaulipas
98313,26.933378,-101.376021,San Catalina de la Montaña,Hidalgo
73743,25.540856,-113.076001,Nueva Islas Marshall,Campeche
16,17.531432,-86.59381,Nueva Micronesia,Yucatán
16,22.295914,-99.162887,San Natalia los bajos,México
32784,16.954005,-111.757015,Nueva Georgia,Tabasco
57369,30.931542,-94.598423,San Linda los altos,Morelos
57369,32.052384,-90.325084,San Darío los bajos,Aguascalientes
57369,17.719201,-92.00963,Nueva Mauricio,México
73758,15.56475,-91.382864,San Silvia los bajos,Baja California
73758,17.757603,-91.708969,Vieja Samoa,Morelos
40991,31.562051,-89.438462,San Enrique los bajos,Baja California Sur
16416,17.61827,-103.852426,San René los bajos,Coahuila de Zaragoza
81952,27.712547,-99.203593,Vieja Filipinas,Aguascalientes
81952,24.91532,-93.133912,San Victoria los altos,Jalisco
36,18.143471,-98.489375,San Reina los bajos,Oaxaca
36,29.858288,-110.51938,Nueva Ecuador,Baja California Sur
36,17.732392,-113.543038,Nueva Uruguay,Distrito Federal
8233,16.088274,-116.593276,Nueva Tayikistán,Tamaulipas
8233,29.587855,-116.128983,Nueva Andorra,Baja California Sur
8233,24.561112,-103.97409,San Darío de la Montaña,Querétaro
48,25.775698,-88.822987,Vieja Montenegro,Tamaulipas
48,27.853785,-111.897712,San Elvia de la Montaña,Guerrero
48,14.976142,-116.529625,San Salma los bajos,México
57392,21.233801,-108.290271,Vieja República Democrática del Congo,Chiapas
57392,30.013723,-103.43512,Nueva Congo,Michoacán de Ocampo
57392,22.678075,-87.517907,San Homero de la Montaña,México
98356,15.567235,-106.086203,Nueva Sri Lanka,Zacatecas
81975,20.239207,-97.634534,San Victoria los bajos,Jalisco
81975,24.134798,-105.366801,Vieja Afganistán,Chiapas
81975,26.452738,-93.847943,San Fernando los bajos,Guanajuato
81976,25.081866,-115.552439,Vieja Italia,Colima
81976,23.000793,-99.990493,San Arturo los altos,Tabasco
81976,24.546711,-111.081134,San Daniela los bajos,Durango
32827,18.349476,-88.664827,San Julio los bajos,Sonora
32829,31.616469,-115.811222,San Pascual de la Montaña,Guanajuato
32829,19.92428,-93.592389,Nueva Suecia,Michoacán de Ocampo
73791,30.55026,-101.458592,San Esteban de la Montaña,Distrito Federal
98381,21.030064,-90.130796,Vieja Honduras,Quintana Roo
98381,23.201436,-111.996553,San Noemí los altos,Durango
98381,23.258427,-92.567286,Nueva Congo,Sinaloa
98388,18.410331,-93.237567,San Teresa los altos,Colima
24666,20.429464,-101.862393,San Jerónimo los altos,Yucatán
24666,20.370819,-88.583404,Vieja Liechtenstein,Oaxaca
24666,30.664409,-106.006884,Nueva Belice,Aguascalientes
82013,19.122737,-114.637531,Vieja Myanmar,Nayarit
49249,25.209787,-111.059963,Vieja Guinea Bissau,Distrito Federal
49249,19.270743,-103.245972,San Bernabé de la Montaña,Hidalgo
49249,22.143914,-95.940626,San Liliana de la Montaña,Sinaloa
16484,21.202323,-109.009743,San Úrsula de la Montaña,Campeche
16484,21.064869,-88.903912,San Eduardo los bajos,Yucatán
16484,27.17536,-90.849479,San Genaro los bajos,Jalisco
57446,24.900535,-89.22062,San María Luisa de la Montaña,Tlaxcala
57446,26.849105,-111.443702,Nueva Georgia,Guanajuato
57446,31.974622,-105.267524,Nueva Brasil,Michoacán de Ocampo
16488,17.277861,-116.914839,San Miriam de la Montaña,Durango
16488,31.204684,-102.52259,Nueva Finlandia,Nuevo León
49257,16.493803,-109.849571,San Óliver de la Montaña,Chihuahua
49257,25.292269,-92.122032,Nueva Nigeria,Guanajuato
49257,26.893714,-92.34188,San Claudia los altos,Colima
65646,21.127187,-110.016314,Vieja Gabón,Hidalgo
65646,28.453923,-109.140079,San Camilo de la Montaña,Chihuahua
24686,23.332315,-113.463499,San Jerónimo los bajos,Morelos
24686,26.87783,-91.970392,San María Eugenia los bajos,Chiapas
