order_id,payment_sequential,payment_type,payment_installments,payment_value
ord_7370c26ead3d3cc6cee4f0548b8d,1,credit_card,12,575.12
ord_079072dd7970d40a3922a6b0c459,1,paypal,1,890.22
ord_079072dd7970d40a3922a6b0c459,2,voucher,1,1739.68
ord_2600b1cb6f6a38610007a8c9142c,1,boleto,1,2985.46
ord_aaa7c4626ea7ea636e5bba7afebd,1,mercado_pago,6,407.88
ord_aaa7c4626ea7ea636e5bba7afebd,2,boleto,1,938.39
ord_0ca0641b834ceb0a46f85637e125,1,boleto,1,816.93
ord_4cb088c3cb961aa3e4d68ce1b7f6,1,debit_card,1,2350.63
ord_6133a8de0b2703b2d39095c72bdb,1,paypal,1,1309.76
ord_6aea1eb0a77195fdad5a001c4783,1,credit_card,2,4315.94
ord_7951ffd1361c23ff4c5d3d183f7a,1,mercado_pago,2,1164.98
ord_bceb05d7f16e6e3ddeab7ac1043e,1,debit_card,1,4499.16
ord_09058df5141bc946e40b1a784ddc,1,voucher,1,2485.1
ord_28ae297dd27b59eb3eff46c79a9c,1,debit_card,1,4340.4
ord_d88b0b05dfcf2399e19b63ac80d1,1,voucher,1,1808.71
ord_71815bb15e351ddab931c344e974,1,boleto,1,105.63
ord_71815bb15e351ddab931c344e974,2,credit_card,2,1829.25
ord_98d9ec5f1db2de66a3147ca9831c,1,mercado_pago,3,3844.55
ord_7ea60ba52bc485b206e833dfb4ef,1,credit_card,1,3615.98
ord_4a09d9a737ecae165e7c376c98ee,1,credit_card,2,3384.41
ord_b0ee1cc9a1e444ac03739cf11771,1,boleto,1,3941.97
ord_dd0a14c702ddd67fa439388844b8,1,paypal,1,3777.51
ord_0ca2b373fe62e17323663eb250b7,1,credit_card,3,4095.54
ord_606b89ee0dd43dacdfc39ea1d449,1,credit_card,2,362.74
ord_c121f19c858f44379b331c7317fb,1,credit_card,3,2981.22
ord_5aed737a1312529d79a23dfd640b,1,boleto,1,3957.82
ord_501dcdd26ca159a973f0ceb88805,1,mercado_pago,6,1727.79
ord_c0ae54061791f9d37e5f2f354edf,1,paypal,1,138.4
ord_c0ae54061791f9d37e5f2f354edf,2,boleto,1,2244.88
ord_0d7ffaff4c431ec31f590244b460,1,debit_card,1,1550.46
ord_1fd5035bd15e188384a476f1883c,1,boleto,1,661.71
